,Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
146,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.474978693842778,1.5421848,1.52949647,1.604639526,1.590526341,1.68546137,1.967273556,2.360256649,2.359934249,2.218252449,2.273734094,2.273734094,2.336431015674328
147,Panama,0,0,0,0,0,0,0,104,121,136,65.2,61.7,75.5,78.1,74,99,100.4,104.4,102.1,102.1,109.7,108.1,102.4,108.7,112,112,86.2,64.3,58.2,48.3,16.4,73.1,84.6,106.8,108.9,129.6,300.5,355.3,378,337,410,368.2,410.9,451.9,762.7,559.9,505.7,509.2398999999999
148,Papua New Guinea,0,0,0,0,0,0,13.977521,8.7170796,9.1581786,9.1303078,5.4459088,4.7372664,6.0995138,4.3131426,5.3549688,5.6073132,7.007306799999999,13.434067,10.012715,7.2273815,5.4364257,21.015235,20.734443,20.446675,19.904488,15.668253,15.166876,13.949214,9.713940699999998,7.8442464,7.2265074,5.924501,5.6222743,6.931479400000001,9.5266464,6.8666488405812105,4.4164773660000005,7.587647871,7.370129249,4.754743552,3.493553628,16.95508625,14.25384478,13.85603094,10.44127595,10.4753205,7.142190357458979,7.529033045299207
149,Paraguay,0,0,0,0,0,5.9,7.3,17.5,37.5,36.4,52.1,63.1,41.4,33.2,24,9.6,13.7,22.7,23.9,39.5,33.8,42.4,63.9,94.6,148,287,297,298,286,268,278,264,201.7,223,238,161.3,336,340.786,362.63,377.3,409.885,540.67,634.1,623.28,506.64,553.640384,656.858368,685.0453726675235
150,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,148,240,289,473,599,597,636,647,670,718,753,705,869,1130,1440.067536,1837.494274,2130.814663,2443.644585,2408.698137,2533.910907,2696.961723,2787.954663,2707.24639,2636.539865,2725.062656,2883.886592,2974.0997206402194
151,Philippines,0,0,0,0,0,0,0,339,446,556,626,800,1049,1124,718,806,861,1020,1262,1360,1462,1849,2536,2591,3453,5362,4879,6800,5134,6714,6957,8769,9740,10244,11473,13732.55772,14988.30307,15852.63837,18063.64631,19077.71365,20562.88051,21922.20958,23352.20918,25368.84092,28690.7979,29799.39533,31144.63181,32795.29729
152,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,724,774,848,1070,825,1496,1563,1683,2281,4724,6471,8486,10468,10475,8174,7659,7712,6989,7400,7409,6782.999808,6712,6838.284658905992
153,Portugal,0,0,0,0,0,1124.219393,924.087686,1194.114708,1693.566041,2482.199152,2970.794029,2875.473698,2634.099889,2186.900217,2197.960659,2163.220105,2654.397099,3368,3527,3704,4476,4720,4762,4316,3807,3950,3790.021563,3583.386433,3627.92715,3643.575297,3496.069445,3647.399493,2927.464736,3039.80679,3302.861377,3060.519746445385,3485.176231,4161.533467,4287.7608,3788.17369,3726.188031,3921.663573,3991.084294,4455.013835,4445.846849,4363.23936,4377.74816,4404.014649
154,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.6263736000001,803.2967033,574.3956044,498.6263736,437.087904,378.571424,392.01736845268846
156,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,18,16,49,96,96,116,143,124,132,4707.91,1160.464158,1624.282412,1702.335818,682.4634912,641.3866145,694.1163834,733.2186175,3518.842653,3381.251955,3085.453952,3484.233152,3587.597551950543
157,Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568,2506,2772,2267,1921,1290,1275,1404,1359,1453,2499,3436.552689,3820.38,4666.33,5736.97,5105.06,5250.02,6103.27,5787.73,6750.81,7776.54,6903.389952,6678.01984,7278.744766
158,Rwanda,0,0,0,0,0,0,0.24739119,1.1778797,2.1678907,4.787133647,3.3812093999999995,3.900858340000001,7.17816718,3.43413975,2.94314561,2.8643483,4.01868151,4.48020502,3.806522,3.95513465,2.62830622,3.54733882,1.8441288,3.9310297,0,21.126524,0,5.236945,0.009562761,0,6.6262568,7.8500305,7.21,9.615552,9.81,8.869470826,28.99350725,121.4896246,67.79740341,92.61796667,106.4673792,174.25550819999998,182.4052773,123.0988793,183.5936359,159.1999615,172.5187695,183.5746898
159,Samoa,0,0,0,0,0,0,0,5.8518403,12.141249,13.45989,18.742386,18.557469,18.627843,20.333983,20.27057,23.827834,28.62114,36.634882,37.70843,40.873201,42.864224,34.80964475,40.03554605,32.27434772,37.4826847,40.5230984,44.273900700000006,46.5895603,42.0024271,44.67083,0,0,0,0,0.89778037,81.60259052,87.08573427,96.64960741,109.0082264,119.48934,138.5047718,159.5836307,177.69522803200002,164.5834177,140.501951,131.1557635,38.32251069447573,39.75181290537602
160,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Sao Tome and Principe,0,0,0,0,0,0,0,0,0.29871615,0.596723727,0.77362433,0.9557425,0.7122194079999999,1.096014716,3.2541743,0.277999554,0.085516571,0.070096197,0.063699185,0.157212211,0.31,0,0,0,0,0,0,0.8,0.5,0.56,0.4638,0.5536703100000001,0.79733056,1.8214601,1.1,1.5,1.6,2,3,2,6.363257454,6.881334487,6.35888979,26.56672293,26.82784881,19.98019681,18.04484025,18.305281974230027
162,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9397309,105.740988,123.5422385,216.1866667,214.4,236.48,243.7333333,245.92,268.7733333,273.304,295.4344,307.548544,323.39714086313336
163,Senegal,0,0,0,0,8.51666076,26.31666094,45.99279078,43.064203340000006,55.6156618,56.2707198,77.0543085,68.192327,66.3103632,58.9661581,53.758191100000005,79.418966,108.949918,117.822603,117.54309,112.755687,142.067581,162.2478,176.216324,169.725893,113.831891,146.028709,150.4792,150.465322,147.418829,186.355447,233.26164,305.060389,344.795644,510.702994,632.712396,788.8248904658722,925.2422088,1191.799684,1476.110412,1350.399222,1477.678084,1613.911186,1613.911186,1613.911186,1929.055532,1929.055532,2015.863031,2338.401116
164,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764.731402,3544.491743,4648.133641,4117.6313003000005,3960.170944,3548.636717,4025.182959,3695.920471,3370.664944,3204.75504,3387.426077
165,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2594526,7.50444096,7.32012489,10.76120785,0.2894895999999999,0.29668553,0.50399257,0.70422771,0.21884704,0.1140209299999999,0.18717537,3.15900927,1.79085368,1.97991501,4.85511143,6.80831014,12.101090909090946,13.26955988,4.768023427,3.1618177224000004,16.12348329,17.37695052,25.26192914,17.66907005,12.87432825,15.07084099,18.4242305,22.0870225,23.19218234597102
166,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0.095256453,0,0.080733028,0.053041108,0.079682862,0.039260624,0,0.076375063,0.079965348,0.051828407,0.027072386,0.027764219,0.065673313,0.057801575,0.055902131,23.72143091,25.30083398,6.060933328,20.330605,22.476894,7.1349943,6.56766746,21.8154551,25.88925825,24.71483452,2.435105010663288,15.62233918,41.97385639,22.57860674,35.89600404,44.218574708000006,58.81161011,64.53406672,69.66068974,62.43011157,48.1636935,48.1636935,48.99522490554708
167,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.08379888,55.66480447,72.54748604,62.16759776,55.117318,60.899442,62.98313101180191
169,Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.525115,48.492442,25.742912,20.7873543,29.1288951,23.82563949,20.11968168,17.87882425,0,24.42709582,425.5018166,529,946.4540768,1342.93528,1661.802195,2050.321508,1670.909895,1591.283863,1752.743846,1927.879306,2071.747804,2394.9623,2137.5656,2119.404672,2178.257073256143
170,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,52.2,273.1,272.1,279.7,241.8,227.9,225.3,205.2,200.8,216.1,237.9,265.6,261.1,279.2735956,320.26903793500003,380.2583458,329.1798896,347.2990223,489.086201,644.6991673299999,700.4883533,368.7701868200001,422.987132,364.305428,349.3689055
171,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3562766,4.3231085,4.5280529000000005,3.74344042,3.8811334,8.69649,7.162382821345771,10.74165257,12.63292702,9.141559768,12.51445731,14.27862493,16.92891105,20.723054,20.64017511,16.33508698,18.587891,20.28272,21.43593375650536
172,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,South Africa,15.399993899999998,15.3782122,16.8723228,15.87827,26.4081255,35.624969,28.75,28.75,43.7,51.122855,67.096895,86.858126,80.451815,73.583472,64.797191,38.708106,35.513609,45.234823,49.695087,88.546224,135.459341,129.072045,119.277254,101.700244,98.765757,105.32436,101.941696,205.895181,283.385911,327.462404,344.042253,297.778008,288.240234,434.567095,522.719624,613.5774324,691.930201,792.3511906,783.6935278,862.0516311,1069.571381,1158.421806,1084.534306,970.6553372,913.4031037,825.253504,755.434048,765.3892636512337
174,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Spain,0,0,0,0,0,1403.986281,1379.9021,1462.360011,1734.738341,1898.976301,2190,1820,1579,1349,1227,1231.979854,1428.783226,1588.157946,1790.237102,1859.956364,2190.339831,2134,2633,2320,2635,3242,3496,3528,3930,4647,4862,5099,5584,6568,7540,6661.697776,7353.205616,8963.642388,9742.840783,8582.625486,8684.602294,9655.943593,9714.709518,10648.33099,10724.22678,10280.94054,10280.78746,10414.634604979168
176,Sri Lanka,0,0,0,0,0,8.562662,12.95768,18.482927,39.031033,60.065424,152,230,289,295,301,292,326,350,358,358,401,442,548,632,715,809.137573,851.3685074,942.3742409,1021.959917,1069.990716,1163.496406,1189.6,1312.01,1433.84,1585.69,1975.536,2166.77,2507.3,2924.5,3336.7,4123.13,5153.01,5999.552324,6422.186627,7036.32655,6999.731312,7257.361392,6669.515119
177,St. Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0.7925925899999999,1.1111111,1.1,1.1111111,1.3111111000000002,1.062963,10.518518450000002,11.30370375,12.16296332,19.20740748,19.28518562,1.4888888999999998,1.4740741000000002,15.1222221,17.60370371,20.22963007,21.18888899,22.45185168,24.64074095,26.0888884,27.09629676,27.80148135,28.593903620000003,29.93334829,31.30394066,30.26623333333336,32.83455666,36.12964852,40.09924222,38.80315075,47.03306222,44.67484297,51.04948111189999,51.57013592,51.57013592,51.57013592,51.57013592,52.87249824000472
178,St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68888889,0,0,17.962963329999997,20.44444446,15.8518515,15.3703704,16.11111143,17.73703734,2.05925927,15.42962939,21.781481270000004,23.05555514,27.39259276,25.22222246,25.92222216,26.5444446,26.44074084,26.86740706,26.77856596,27.37164469,28.65037058,27.06324814814813,27.83671482,28.60581852,28.90401481,27.99007,28.99365445,29.4444337,29.78945889,30.14693259,30.14693259,30.14693259,30.14693259,30.641135253571456
179,St. Martin (French part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,St. Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888923,15.111111100000002,14.9629627,15.37037033,15.62962959,2.44814812,2.04074077,17.39259302,16.977778009999998,17.17037021,18.17407378,19.82592577,20.80000017,21.15925882,22.48148153,22.702592600000003,23.14703692,23.52214072,25.517818490000003,22.417496296296317,25.55708148,28.86557408,26.77655926,29.05717445,29.05570074,29.23637851,31.10908112,31.5877074,31.5877074,31.5877074,31.5877074,32.473813199441686
181,Sudan,0,0,0,0,0,0,0,40.49291093,68.978427,127.91,262.6,383.671949,133.2210012,275,285,261,113,138,217,417,61.9,45.4,124,75.2,107,346,221.32,419.2,687.1,665,640.6,739.2,977.5,1225.24,1401.72,703.7883856576125,800.8287620149999,999.71075,1590.626089,1394.395643,1455.537378,824.2209092920001,595.8432437780999,619.5088034153999,506.5568219,151.392014,153.4114615,178.9758113246432
182,Suriname,0,0,0,0,0,0,0,3.1,4.7,5.4,6,6.1,4,6,5.9,4.5,1.7,2.1,2.8,2,0.5,4.1,4.6,3.5,0.2,0,0,0.4,0,2.3,0,0.2,15.1,23.5,9.1,3.9,2.1,2.8,2.2,4.6,4.3,7.493784528,8.05749075,7.716417279,8.833808604,6.7055595,1.493543625,1.544699856184811
183,Swaziland,0,0,0,0,3.5321284,7.978280099999999,9.775,12.075,14.26,16.868654,35.311188,39.934128,37.207046,53.047303,52.668057,47.550158,55.010179,78.87886566,94.78912704,109.7244505,113.2803511,108.3259317,110.3856923,82.73757064,77.06858442000001,82.55196715999999,75.51328964,83.84010742,78.41221387,70.02178763600001,56.88541239,52.87645976,44.66932091,65.225296,82.79758029999999,95.42186976245134,95.65506859,95.12218316,89.63736606,93.45776262,54.69032385,38.12635481,31.31337386,30.00213222,24.49545161,18.6927855,18.6927855,19.945399379322552
184,Sweden,5.7991073,11.70525,12.598646,16.028393,20.272896,26.190417,41.384175,60.505138,48.687912,46.587487,65.987793,67.646599,0.13629301,24.5355355,22.480363,23.34312,18.435109,98.18337,104.32902,127.266343,152.50468,207.152111,232.240829,231.224665,249.495977,287.338085,301.333641,344.863803,126,364,438,579,512,620,677,673.4177178609999,596.7808012,773.9528545999999,824.7687004000001,714.8227491,762.0044712,4175.478082,4069.950425,4466.068101100001,4558.124525300001,3363.518912,2854.533568,2935.383255017084
185,Switzerland,0,0,0,0,0,0,0,406,537,592,609,443,526.732499,550.796564,495.37105,498.326143,652,779,826,755,924,988,1044,1052,1212,1478,1390,1205,1225,1220,1120,1305,1377,1703,1894,1721.477365,1795.179912,1795.61723,2214.728946,2341.619109,2494.622577,2616.7763,2416.668938,2437.906824,2412.900192,2553.299712,2493.570304,2566.8811729838085
186,Syrian Arab Republic,0,0,0,0,0,0,0,92.45,636,901,774,436,411,387,321,350,323,334,360,430,385,350,550,352,535,339,313,238,220,198,180,170,135,889,855,823,795,1030.442463,1325.01392,1349.88,1622.53875,1622.53875,1622.53875,1622.53875,1622.53875,1622.53875,1622.53875,1622.53875
187,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5628,146.0498,252.0255,466.6523,1018.8432,1690.7607,2544.0176,1748.1523,2305.826625,3059.87167,3625.512075,4218.768565,3384.055195,2258.643264,1867.398592,2030.9124340017704
188,Tanzania,0,0,0,0,0,0,0,0,0.12966721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8403482099999999,19.318019,1.5862838,11.500423,7.2000089,8.0000148,15.253,12,8.9,13.7984184,19.3663,15.380675,25.4613844,36.81974778,39.827093510000005,344.2875526,409.5633662,390.1388881,381.9307842,389.484432,387.768422,411.226376,432.8562244385241
189,Thailand,0,0,0,0,0,18.45012147,24.0194868,45.048792520000006,104.4920183,188.4690246,382.8486485,477.4801086000001,618.3913024,846.0869560829999,893.0869560829999,877.7037585,795.647146,841.9855943,927.1977069,943.0787966,973,1020,445,1110,1280,1700,1810,1660,1420,1460,1700,1250,1380,1610,1620,1187.095815,1333.07368,1635.037143,1897.940174,2776.0983819000003,3580.348295,4554.062825,4713.380624,5689.777048,6524.13,5894.680064,6272.839936,6561.390573056001
190,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64232226,10.44487788,17.655481509999998,113.3478538,137.13594759999998,136.8960019,119.8598078,33.64974671,43.67989514,61.5861,80.1746,86.39466173959535
191,Togo,0,0,0,0,4.1170785,4.7687283,7.085149599999999,8.0267116,9.3327955,7.958757599999999,9.9347047,7.8643822,6.1136999,6.0776868,6.6093511,15.405232,21.423256,20.04415,21.239006,22.864609,26.874573,28.971286,16.245309,11.71765,15.306067,15.021584,29.371378,26.2597298,18.57100992,22.8618153,34.234287,68.50254,103.212651,148.409487,178.703938,192.5004588017369,232.1685909,284.4490896,337.0594653,334.50780567000004,336.5974854,244.1340807,344.7603225,397.35904882000006,427.2922548,363.59556,351.233311,388.4640419
192,Tonga,0,0.7937699,0.6079097299999999,2.06216639,4.513934869999999,6.6945770300000005,5.37444605,5.54187301,0,0,0,0,8.11932029,16.47530957,13.4638391,21.87134413,20.86998076,22.38804374,16.61213321,14.86772389,23.958236510000003,18.764525350000003,21.33454367,20.96301337,0,0,0,0,0,0,0,52.532854,66.34505935,60.39431484000001,69.29126722,68.64168176306782,78.75042610199999,100.99604920699998,93.85471133299998,72.1267937,77.23958971500001,78.71880122999998,117.6210184,120.9931509,80.20191451964115,80.20191451964115,80.20191451964115,83.78448466543662
193,Trinidad and Tobago,0,0,0,0,0,2.6269731000000003,1.6421801,1.4166667,1.4166667,1.4166667,6,4.25,4.9166667,4.8333333,3.6666667,3.30612243,0.16666667,2.11111108,1.7170732,3.24705879,3.3882353,5.17647059,6.56470589,19.5473953,26.7851304,31.5074698,28.126253,30.19989,44.567529,54.4,38.100002,40.900002,79.1,86.8,86.9,92.4,91.2,109.4,94.5,109.3,90.9,126.068,126.068,126.068,136.1882102,152.539792,144.417744,148.86156491522948
194,Tunisia,0,0,0,0,0,0,142,168,221,283,319,361,372,360,317,271,348,459,498,450,551,525,531,446,629,680,736,685,718,761,796,927,1070,1253,1433,1392.672712791922,1510.039255,1715.757367,1976.964229,1964.488715,2063.294677,2004.498798,2265.714118,2290.512365,2346.621114,1971.37584,1971.37584,2029.926486700228
195,Turkey,0,0,0,0,1430,1310,982,982,983,1690,2070,2490,2140,1510,1810,1710,1630,2020,1780,3063,3250,2820,3010,2920,2630,3330,3540,4200,5360,4530,4560,2790,1940,729,804,887,1833,2096,2439,1834,1819,1883,1881,1901,1739,1395,1186,1142.118
196,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,14.399999618530272,30.299999237060547,49.79999923706055,33.68000030517578,35.29999923706055,34.79999923706055,37.09999847412109,40,30,16,9,9.784474808009174
197,Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.932020084,3.663470195,5.604763152099999,5.963465678,4.827112859,3.919900614,4.582719141,3.835897959,4.056908045,4.056908045,4.056908045,4.056908045,4.256601539137088
199,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,238,349,442,299,311,321.808493,411,451.5718759,723.5210027,781.0973193,770.789132,816.2318108,913.2641908,940.6643793,887.6113094,902.1575421,1015.710363,1181.728591585191
200,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12,18,33,141,209,330,411,2408,3102,5290,6782,5941,6535,7822,8449,9667,7354,5845.000064,6145.999872,6883.519856640001
201,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,1627,1685,2097,2092,2032,1768,1974,2470,2520,2880,2990,3400,3610,4820,4490,5030,5920,1777.672758,6105.706286,6556.335762,5995.100746,5242.981857,4951.404773,5099.003471,4944.716073,4804.502413,4932.330424,5003.393536,4564.740992,4779.341182958623
203,United States,0,0,0,0,0,0,0,200,220,230,80,80,80,80,80,80,908,994,995,1020,1170,1300,1800,1820,1940,2180,2180,2270,2440,4250,4400,4510,4570,4670,4730,4795,5068,5219,5364,5740,5930,6104,6303,6613,6503,6561.999872,6546.999808,6605.922806271999
204,Uruguay,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603803,36.053,61.753293,69.896167,76.74039,88.933,96.476,107.912,101.073,124.891,128.836,121.7621577,124.4401337,123.7720828,115.839928,115.97364,120.27225000978638
205,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897.6199951171875,1692.9000244140625,3006.780029296875,2070.510009765625,2858,4275.700195,5693.299805,6689,5828,3062,2479,2695.0792276727493
206,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,9.35478,7.145181699999999,8.4680079,8.7351089,8.0225625,8.4627996,8.00955359,7.319442759999999,8.211443,9.0586209,14.0892563,12.0433719,18.1190572,13.5075748,35.570316,15.528985,21.6072758,25.9658096,34.664645,52.7029,4.097122935,3.995373347,4.930017219000001,5.097613246008688,4.989726638,5.543183073,8.906629699,11.49204372,11.76861544,21.76588649,22.03653753,23.71013091,28.12531544,24.07352944,18.86350616272662,19.20547871
207,"Venezuela, RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,4,17,17,17,17,19,19,208,143,148,165,151,137,132,143,138,118,120,128,161,279,288.75334193874943
208,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,1100,1770,2100,2310,3150,3800,6180,6805,6020,8260,8600,10000,11000,12000,13200.000000000002,11880.000000000002,13780.8
209,Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,West Bank and Gaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.9,542.3,623.4,1080.620973,1116.562555,1009.922853,1066.196149,1035.471281,572.426901,637.435694,642.9955909,464.0563179,598.5434232,740.7243655,755.2359079,927.1393867,1141.713036,1737.0495529000002,1498.892425,1804.542444,1825.859248,1957.173888,2055.9952739797754
211,"Yemen, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,998,1020,1040,1060,1080,1140,1170,1200,1220,1290,1300,1290,1270,1280,1282.599,1282.6,1321.52,1410.52,1160,1526,1403.92,3351,3342.5,3350.5,3350.500096,3350.500096,3350.500096
212,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,48.4,52.87,57.68,59.3,68.195,41.264,43.657312,46.27675072,72.864,53.98026206,58.30030243,47.04654,38.46444,40.56717835
213,Zimbabwe,0,0,0,0,0,0,0,17.64527048,12.89225,19.3975835,16.891616799999998,28.29462824,32.89533454,19.55618057,3.80628659,0.61964084,0.7850546299999999,1.14302578,1.3829464500000002,0.71224889,0.8486358600000001,0.3498421229999999,0.58772689,1.12580886,43.685417560000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,World,1921.963098,2464.443721,2993.711404,3215.283986,4535.880907135999,9529.354753991998,11069.428950019998,16829.639770240003,22356.19728,28221.750498146404,35813.93746,34887.164669875994,36041.33078224301,36578.39132684599,35361.10973,34555.88406,40459.240711266015,48817.48085,52361.34804,54748.82438212499,64034.12654,67753.61523,75215.32330513601,75210.75538146899,85677.24756670151,97888.72638477896,102763.00836336642,117241.99475030304,114004.71558176812,121671.3659,126749.68574068104,140338.80934765303,163489.3600806285,197182.5171035339,226425.9779397377,280146.42917568685,326007.9991054633,393115.1297,454272.87111650687,426042.4766,462145.86092411046,524414.3558355761,544903.1745082687,574016.1518742818,597688.7812181524,581872.1767621712,573551.2752449227,595694.7269628783
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,"Source: World Bank staff calculation based on data from IMF Balance of Payments Statistics database and data releases from central banks, national statistical agencies, and World Bank country desks. See Migration and Development Brief 28, Appendix A for details. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Note: All numbers are in current (nominal) US $.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,"For a discussion of the definition of remittances, see Dilip Ratha, 2003, ""Workers' Remittances: An Important and Stable Source of External Development Finance"", Global Development Finance 2003, World Bank. Data since 2005 are based on IMF BOP Statistics that use the definitions of IMF BPM6.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,GDP data is from WDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,"For latest data and analysis on migration and remittances, please visit http://www.worldbank.org/migration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Date: October 2017 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
