Remittance outflows (US$ million),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Fiji,2.2192786344407813,3.814692529455015,3.892612936588783,3.82791309051075,16.1428447421348,7.8999999999999995,9.75980079715804,9.142800851938642,12.870527151512702,7.158571442402568,9.631117095620835,10.533776769860701,8.225967421085768,8.469046511287686,10.66048437470053,9.666037820310066,13.015472765623262,14.91736323067137,15.730151268062446,11.256018112744709,7.445206260306845,12.1919434907483,13.56984050484029,0.272486757125307
Finland,99.71615007798846,96.71085453363405,113.50698861986157,149.1603999766755,224.8745220595237,266.2,436.8466610561417,553.3232726505843,684.992069414042,686.7119884048503,720.8324159177463,445.2099784577894,774.4485566615648,1084.9761065362732,1015.3690080714259,927.6591814888415,882.1811000032145,997.5041497234981,1011.1540232783886,973.7632344426295,927.1197581131382,986.3634735930711,1002.9560891369082,0.3542462274964002
France,5120.657542467605,5384.60962745099,6134.107943231492,7721.669639814502,9094.683582689931,9470.052385131774,10285.441104426265,11945.2143377971,13269.362770089698,11766.845174633409,12026.060391507812,12857.522696011794,12561.16024253095,13424.774110175635,13729.849894483139,12791.549840918216,13284.455662470054,13798.960222936134,15022.558189931326,15041.212238839107,14833.738032048006,16682.76278036795,15267.430312655617,0.549161275299324
Gabon,77.57983233943558,95.90082829480463,96.44926506884532,115.15651042067752,110.29845828173147,185.59414692404476,0.0,154.76349017878826,277.6564108080817,253.4783460329841,159.04230676788217,239.37934220478675,355.74406770588115,250.45540972633546,280.69539401230764,121.71115046509422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gambia, The",0.0,0.0,0.0,0.5261034898022912,0.5221430731960457,0.7429458637547646,0.9467063473329123,14.640731874283947,3.1853235466297356,8.412067918793813,58.1190881989003,91.36270871702821,66.13600229763183,69.58519435994688,25.235850134266776,20.5,17.79742918521699,18.17436527430621,19.006746070219073,18.92594295036288,18.308188550361898,26.83681134433563,21.14893706190083,0.9786643712124401
Georgia,21.0,19.835373230000002,18.91161519,22.164542570000002,23.86931399,27.10735243,26.74126759,31.69914319,50.97989957,33.60906911,55.13216564,76.80046359,86.73244305000001,87.71448775,86.13111008,95.86242306000001,100.49240012000001,122.15426191,151.14958670000001,169.88374213999998,76.89498562,106.32682378,290.32555037,1.1798973842558724
Germany,8662.856855468694,9184.539370748447,10126.521386574817,11566.286326823116,12607.398368362186,12705.661655871565,12705.044233790219,14079.161786563905,15236.46387887648,15336.343939816528,14682.106066378039,16125.581285632998,15581.428609472596,19976.705774634574,15463.161755225616,14320.879460606257,14685.62445484806,16466.27779344908,18075.4955065018,17778.35432012967,15683.839268973326,17621.088104978375,17104.357293871803,0.41864152619531
Ghana,6.0895129065472,6.3992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,4.84,8.94203167182118,2607.1063873377398,1548.90968762726,1112.21,956.248076150446,667.2625062602269,727.201189577844,812.831957035108,952.6689038437944,1.3187006406763206
Greece,545.0997119096395,536.1526784816657,411.7338938242064,379.4747802509882,496.95458384158877,902.0510359718949,982.3161130037388,1459.4830450701409,1912.0666198185568,1844.5,1931.8190130715473,1941.8070643008473,1437.386208766269,1291.061264939579,1424.4991974017448,1870.201142471005,1800.3188755291726,2083.354726702324,2287.128999210023,2666.1984393110997,2725.263243974984,2937.5638884774703,2937.323542572939,1.339787601863244
Grenada,1.2148148148148148,1.2148148148148148,1.2148148148148148,1.2148148148148148,1.2148148148148148,1.4225481481481481,1.4768888888888887,1.59504,1.7958562962962963,1.496148148148148,1.511708148148148,1.5544096296296295,1.6001092592592592,1.6651462962962962,43.7,47.65008551029189,47.840931256666664,52.198995456666665,54.50671536623696,55.65999598829948,49.66976923846211,48.392648093988036,52.40984409189278,4.310020073346445
Guatemala,55.6,32.4880933102828,81.92295720999999,86.086,33.7,42.099999999999994,45.5,16.9,26.5,21.976599999999998,20.76247,26.790599999999998,27.9052,27.745530000000002,26.12559,22.906100000000002,18.78648,18.333869999999997,18.91029,18.00769,18.664569999999998,19.967930000000003,23.85243,0.025106763925729438
Guinea,26.910849502734383,36.833045673392206,17.810000000000002,46.37641098460284,47.95,59.86000000000001,51.599999999999994,38.96,55.510000000000005,44.9,40.980000000000004,38.809999999999995,50.72,80.67999999999999,35.85798115139774,25.6995005148516,33.87067712235626,27.78,22.89,82.69,22.62,43.55,134.9257,0.6645276792750198
Guinea-Bissau,0.0,0.0,5.416160532471906,6.488296564962505,5.373995144276298,5.351981988524216,4.322131856121792,4.4,16.750187023369577,20.190171034295766,19.650119024303553,29.957650227142402,24.96498051466419,34.54517590961691,36.5239155801444,38.406676667913096,23.573999999999998,48.288166838500686,56.71545749134011,98.05157900712568,78.64117550679478,89.26287079978947,0.0,0.0
Guyana,27.4,24.1,53.1,50.4,80.627,54.806,48.429,61.144,72.15444274,85.62487503,128.119878587356,138.27,183.688021187932,122.837355318773,122.22953032359601,132.0,137.96341260340117,139.3315081905201,142.3911336897954,149.0605255066313,130.3192232451372,196.7049257372356,153.4177355542289,1.0559414657184176
Haiti,11.0,19.34,22.0,31.35,38.52,59.686,75.515,96.408,117.08021167777781,134.8240037777778,166.9785616606625,240.2373935333332,231.9240771555555,247.69432073333329,248.5970743956264,247.2976612506611,266.3401223100867,297.7103404301353,309.403439143222,284.9752986127222,549.4832071720001,678.498745922534,725.386292381882,3.532438725989199
Honduras,9.4,11.5,10.899999999999999,12.00481871,16.634547,0.483545772191016,2.121696766639146,2.48722,36.95,27.18794039,27.285337546176052,32.975283767490325,36.43174342233841,40.9381473901,42.1,41.1,41.1,261.1486902792135,288.1370230458692,329.9333372278524,291.71044351771036,343.8631852664926,338.51906091497614,1.073879582891781
"Hong Kong SAR, China*",225.38493267787678,308.51099973825717,298.88765653350913,317.2068357675791,320.6206560991401,348.0866643549639,376.5509184281372,387.6250089079173,393.1066553335273,413.32624377410616,482.936786176408,554.3449736785217,607.1185052231468,656.3980551619428,711.4986991346282,758.6705606007783,816.5260025845763,875.4733437899575,933.9730458145414,997.2160593433493,908.5459673611538,905.0155709782717,900.8651513756363,0.25035228293087636
Hungary,301.2895444342289,314.9750999073376,391.6342482258767,483.6263643439161,581.7617115328594,697.440225273857,797.9073421386482,999.7746972137511,1119.427431323928,896.3158971687567,859.8924872134338,913.9316926024519,863.0971894263625,858.4808891935104,868.8450382021663,676.85184605136,782.1063476666703,863.3527901816136,1093.917694940058,1381.1188137714755,1255.089391908554,1310.2775895047369,1439.6645037384071,0.799755853043062
Iceland,23.395768889237964,14.29969309974893,20.67505880546328,19.336937509210962,28.35288911804387,54.42624963087869,81.59243075982076,114.80263700589597,100.76335008366823,68.067536128923,67.19385138998643,72.73845076135015,65.98357886500177,72.58195821319251,95.08718721022379,84.51622569545077,139.9581889117353,325.2960995917515,356.2169310924236,376.6362941638721,291.00795468544214,340.9512764466045,386.70110814846436,1.377876743803543
India,486.14191892058784,751.0846973280293,1186.8001480518162,1265.4198100287567,1652.7831744797627,1348.2828578368478,1561.8653622548627,2059.330846416953,3812.3635805274143,2890.0,3828.6784984633473,4077.745355884924,4963.082153948808,6431.771261443804,6221.785952855262,4882.832496029115,5622.636934737198,6958.929627681167,6781.570846837902,7531.590149758273,7010.825358501104,8181.397793024899,10088.812317366739,0.297632388026357
Indonesia,0.0,0.0,0.0,0.0,913.2215155788024,1178.9157449110558,1359.0661959565732,1654.25,1971.467529684843,2701.592136178098,2840.0,3163.740018455644,3633.6133249824643,3951.1089634133596,4119.081643741526,4605.139443455808,5150.593774537164,5177.356261761918,5148.052050626533,5070.875384270985,4546.939545852018,4343.3832143252475,4636.183168331498,0.3515439851146793
Iraq,0.0,0.0,0.0,0.0,0.0,82.5,781.3000000000001,17.3,31.400000000000002,26.7,48.4,78.0,548.0,484.0,599.3,539.3000000000001,349.6,396.2,499.7,664.3,580.7,852.4,633.0,0.2423987133338439
Ireland*,0.0,0.0,0.0,0.0,0.0,1440.0422903979775,1853.312504713455,2519.896788508815,2672.74670451797,2550.7870270858625,2266.001454834047,2194.9564639474966,954.4205926426749,909.8451320939812,934.1,703.5475609748369,694.0322429411482,1613.2575660368595,725.1228996703298,754.3503541125452,623.775986168865,535.7454139249642,2131.6739973349627,0.3995198276732213
Israel,3255.1,3038.7,2780.5,2501.9,2217.8,2205.6,2381.2,2824.0,3679.4,3464.5,3768.5,4251.0,4220.0,4837.3,4836.6,4732.7,5004.1,5873.1,5902.4,5909.5,5549.9,6543.8,7613.9,1.4502583794759267
Italy,1945.1375036764416,1897.1274885440803,2062.4579597780807,2513.5318603247733,2688.6356508657964,2587.6788700183015,2463.936256973489,2870.2568493563576,14445.39989583948,14402.098597250775,12882.879135786405,14509.942723018034,11821.288113610346,11565.68255180433,11135.811955508369,8860.397466692733,8677.587198877718,8841.573147745445,9906.85158773809,9577.332780600536,10194.686590985837,12286.886853751806,11586.496052218648,0.5758655780833856
Jamaica,152.0,179.4,242.3,322.2,390.8940110778,368.74151438,357.92685010484763,396.1825776016667,364.617028726,268.9977113729212,279.30992690478837,305.4,333.5405132165047,297.4257075385832,275.08179834313455,287.14024449268754,298.1124848583854,313.9692435019417,309.1106627151201,324.8825120186888,306.2755378763927,346.66466540198354,363.4482013906107,2.1375533811128076
Japan,2530.7812783859217,2345.078420989574,2678.810110406569,1504.2854717280538,1212.182602775129,1149.5373167201467,3332.1645886482843,3639.3719433653946,4548.088347383792,3932.046367463068,4365.714732559662,4536.170392333342,4042.571070644931,2872.330559776836,4214.76175833123,4000.3414212035177,5066.8696850594615,5282.863264345608,6150.517742849173,6827.885453325267,8245.330486376846,6133.593629676977,4521.943147018018,0.10671181752705866
Jordan,197.46121297602258,193.2349226042158,193.93516895743,226.93935119887166,272.07334273624826,349.2242595204513,401.5514809590974,479.2667347285998,471.7791677301549,502.2535211267606,605.3,549.8591549295775,684.7887323943662,534.9295774647887,675.2112676056339,596.7605633802817,570.0,672.8169014084508,637.1830985915494,574.7887323943662,393.09859154929575,531.9718309859155,522.2535211267606,1.099041480516763
Kazakhstan,121.5,203.1465,364.81756309138405,650.850447,1219.483642809356,1893.131774858688,2958.485460452029,4212.277481719376,3461.671985159943,2934.0612835818342,3005.774880437663,3409.435906800476,3432.439704728681,3386.49373539602,3457.352394127324,3181.475768052969,2396.148203760261,2690.697275004375,2680.0810276183465,2660.169693958282,2080.8348872067386,2584.5764605707845,2373.101120174079,1.0522376812623115
Kenya,0.0,5.091442627810644,5.7143479976554215,6.58452953810806,34.02296482005331,56.408976704830614,25.399012362981935,16.364507589617535,64.49540113226189,60.80384802280323,19.103878457900134,25.9,14.509118397606976,16.198367005914125,170.953253978789,35.05086791859454,17.90789666473598,20.214354788231777,10.730012936166581,2.5639285520391595,8.394378967155978,8.973960160437102,11.426138355276873,0.010049285718926722
